# GECK Function Index - Auto-generated from GECK wiki XML
# Format: Name | Origin | Signature | Summary | Categories
# Search this file with grep to find relevant functions.
# For full details, grep the original XML for the function name.
#
# Origins: GECK1=base game, NVSE=NVSE plugin, JIP=JIP LN NVSE, JG=JohnnyGuitar,
#          SO=ShowOff NVSE, kNVSE=kNVSE, NX=NX, Hot Reload, etc.

"componentPath<nowiki>|templateName|</nowiki>''altTileName''" | JIP | "componentPath<nowiki>|templateName|</nowiki>''altTileName''"("componentPath<nowiki>|templateName|</nowiki>''altTileName''":, formatVars(up to 20):?) -> int | Creates a new UI tile from a pre-defined Template, returning 1 on success. Function argument uses the following format:<pre> "componentPath|templateName|altTileName(optional)"</pre> | Functions (JIP); UI Functions (JIP); UI Functions; Functions_(ButcherPete FOSE); Functions (FO3)
"keyword:string" | JIP | "keyword:string"("keyword:string":) | Returns an array_var of forms associated with a specified keyword. | Functions (JIP); Keyword Functions (JIP); Array Functions
Abs | GECK1 | Abs(x:float) -> float | When given a number, returns the absolute value of the number. | Functions (GECK); Math Functions; Functions (FO3)
Activate | GECK1 | [Object].Activate(ActionRef:ref?, RunOnActivateBlockFlag:int?) | Executes the activation event associated with the calling object. The nature of the activation event depends on the object type and two optional flags. | Functions (GECK); Functions (GECK); Object Functions; Functions (FO3); Savebaked Functions
ActivateAnim | kNVSE | actor.ActivateAnim(anim sequence path:string, bIsFirstPerson:0/1?, iPriority:integer?, bStartOver:0/1?, fWeight:float?, fEaseInTime:float?, time sync sequence path:string?) | Plays the specified anim at the specified priority and weight, with optional parameters. All arguments except the sequence path are optional. This is a low-level animation function that must be used with care. Use PlayAnimationPath, ForcePlayIdle or PlayGroup if you don't know what you're doing. This function plays the specified animation sequence path at the specified priority and weight. The animation will overlay any other animations playing on the actor. Use DeactivateAnim, CrossFadeAnims or BlendToAnim to deactivate or transition the animation to a different one. * 'bIsFirstperson' specifies if the animation should be played on the player character's first person or third person skeleton. If the target actor is an NPC it will default to 0. If no value is specified and the reference is the player character it will default to the current point of view of view of the player. * 'priority' specifies the priority. The default value is 1. * 'bStartOver' specifies if the animation should start from it's "start" key or resume from it's last offset. The default value is 1. * 'fWeight' specifies the final weight of the animation after easing in. Default value is the sequence weight of the NiControllerSequence which can be retrieved with GetAnimationAttributes. * 'fEaseInTime' specifies a time period over which the weight will be ramped up from 0.0 to the weight specified by fWeight. This is used for easing in sequences so that they do not pop when activated over other running sequences. The default value is the max of the animation's 'Blend' and 'BlendIn' text keys divided by 30. If the animation is missing both of those keys, the default ease in time will be 0. For more info see Easing In and Out. * 'time sync sequence path' is an optional sequence with which the time for the activated sequence is synchronized. This synchronization is done via the morph text keys in each sequence. If at least one pair of identical morph text keys is not found in each sequence, this function will return 0. The path of the sequence must be based from 'Meshes\', but should not include it in the string for most anim group based animations but should contain the prefix for idle animations. The anim must be deactivated or otherwise nothing will happen. Animations do not deactivate by themselves after they finish. | Functions (kNVSE); Animation Functions
Actor | GECK1 | actorRef.Actor(Actor:ref) -> int | Returns 1 if a specified Actor is a combat target of a calling reference. | Functions (GECK); Actor Functions; Condition Functions; Functions (FO3)
actorEffect | JohnnyGuitar | actorEffect(actorEffect:form) -> int | Returns the type of an actor effect form. Return values are as follows:<pre> -1 - Invalid type 0 - Actor Effect 1 - Disease 2 - Power (unused) 3 - Lesser Power (unused) 4 - Ability 5 - Poison 10 - Addiction</pre> | Functions (JohnnyGuitar NVSE); Game Effect Functions
ActorHasEffect | LU | reference.ActorHasEffect(baseEffect:form) -> hasEffect:1/0 | Returns whether or not the calling actor has the specified 'Base Effect' applied. | Functions (JIP); Actor Functions (JIP); Actor Functions; Condition_Functions; Game Effect Functions
actorValue | JohnnyGuitar | ref.actorValue(actorValue:statName) | Resets the specified Actor Value to its previous state before ForceAV was called on it. 'WARNING: This function is currently broken and does nothing.' | Functions (JohnnyGuitar NVSE); Actor Value Functions
actorValue | JohnnyGuitar | ref.actorValue(actorValue:statName) | Resets the specified Actor Value to its previous state before SetAV was called on it. | Functions (JohnnyGuitar NVSE); Actor Value Functions
ActorValueToString | NVSE | |returnType = string.ActorValueToString(ActorValue:string) -> string (alias: AVString) | Returns the localization appropriate string representing the actor value. Useful for supporting multiple languages. | Functions_(NVSE); String Functions; Actor Value Functions; Actor Functions
ActorValueToStringC | NVSE | |returnType = string.ActorValueToStringC(AVCode:int, typeFilter:int?) -> string (alias: AVStringC) | Returns the localization appropriate string representing the actor value, which is specified by its int code. Useful for supporting multiple languages. The 2nd argument '<i>typeFilter</i>' is only available if using JIP LN, and may be used to control the type of string, defined in the corresponding AVInfo entry, that is returned: *0: Default name *1: Full name (localized) *2: Abbreviated (localized) | Functions_(NVSE); String Functions; Actor Value Functions; Actor Functions
